X,Y,osm_id,amenity,healthcare,name,operator,source,speciality,operator_t,contact_nu,operationa,opening_ho,beds,staff_doct,staff_nurs,health_ame,dispensing,wheelchair,emergency,insurance,water_sour,electricit,is_in_heal,is_in_heal2,url,addr_house,addr_stree,addr_postc,addr_city,changeset_,changeset_2,changeset_3,changeset_4,location
19.3297002375409,42.3652950546317,5003817324,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,102416195,2,2021-04-06 14:55:05+00:00,Badojo,"M-4, Tuzi, Opština Tuzi, 81206, Crna Gora / Црна Гора"
19.2680372581024,42.4632232601598,5012186753,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,50811629,1,2017-08-03 14:55:56+00:00,AlexeyPG,"Hipokrat centar za magnentu rezonancu, Piperska, Zagorič, Podgorica, Glavni grad Podgorica, 80001, Crna Gora / Црна Гора"
18.841880262184,42.2908272931721,5130865144,pharmacy,pharmacy,,,,,,,,Mo-Sa 08:00-22:00; Su 09:00-17:00,,,,,,,,,,,,,,,,,,109649204,3,2021-08-13 21:06:20+00:00,Note Control,"37, Mainski put, Budva, Opština Budva, 83510, Crna Gora / Црна Гора"
19.2737708989682,42.4443980923653,5209068321,dentist,dentist,,,,,,,,Mo-Sa 09:00-21:00,,,,,,,,,,,,,,21,Atinska,81000.0,,119858777,3,2022-04-18 13:13:45+00:00,soliMM,"21, Atinska, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.7923634392651,42.7333444229807,5252070744,pharmacy,,Apoteka,,,,,,,,,,,,,,,,,,,,,,,,,54149046,1,2017-11-28 13:29:13+00:00,user_1737004,"Apoteka, R-2, Bandovića most, Pode, Andrijevica, Opština Andrijevica, 84320, Crna Gora / Црна Гора"
19.2353817824335,42.4402075598737,5421851684,dentist,dentist,Dent-ES,,,orthodontics;dentist,,,,Mo-Su 09:00-21:00,,,,,,,,,,,,,,2-7/L-3C,Vojvode Maša Đurovića,81000.0,Podgorica,111359279,3,2021-09-18 02:23:06+00:00,CRCulver,"Dent-ES, 2-7/L-3C, Vojvode Maša Đurovića, Kruševac, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2244242880529,42.452434577309,5461933491,pharmacy,pharmacy,Apoteka Montefarm,,,,,,,,,,,,yes,,,,,,,,,34,Ivangradska,81000.0,Podgorica,56965509,2,2018-03-07 11:36:24+00:00,SMNE,"34, Ivangradska, Tološi, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2245576441323,42.4524363375087,5461934246,hospital,hospital,Dom zdravlja Tološi,,,general,,,,,,,,,,,,,,,,,,34,Ivangradska,81000.0,Podgorica,69633323,3,2019-04-27 08:16:01+00:00,Pedja,"34, Ivangradska, Tološi, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.237799793861,42.4489463644843,5462609109,pharmacy,pharmacy,Apoteka Lijek,,,,,,,,,,,,yes,,,,,,,,,,Đoka Miraševića,,,57742569,4,2018-04-02 15:16:42+00:00,SMNE,"M3, Đoka Miraševića, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2340218186436,42.4512628710644,5462619846,pharmacy,pharmacy,,,,,,,,,,,,,yes,,,,,,,,,,Jelene Ćetković,,Podgorica,56974601,1,2018-03-07 16:38:39+00:00,SMNE,"Sava Čelebića, Podgorica, Glavni grad Podgorica, 81103, Crna Gora / Црна Гора"
19.2461001411167,42.4382477870927,5552382277,pharmacy,pharmacy,,,,,,,,,,,,,yes,,,,,,,,,,,,,58088244,1,2018-04-14 12:28:46+00:00,SMNE,"Klinički centar Crne Gore, bb, Ljubljanska, Kruševac, Podgorica, Glavni grad Podgorica, 81000, Crna Gora / Црна Гора"
19.2790508274153,42.4348564690687,5562123465,doctors,doctor,Hirurški centar,,,,,,,,,,,,,,,,,,,,,,,,,106287237,2,2021-06-13 15:18:34+00:00,Linfindel,"Hirurški centar, Avda Međedovića, Stari Aerodrom, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
19.2795205492691,42.4346186744757,5562123466,doctors,doctor,Hirurški centar,,,,,,,,,,,,,,,,,,,,,,,,,106287237,2,2021-06-13 15:18:34+00:00,Linfindel,"Hirurški centar, Bulevar Pera Ćetkovića, Stari Aerodrom, Podgorica, Glavni grad Podgorica, 20000, Crna Gora / Црна Гора"
18.7706725581446,42.4240513576877,5715986249,pharmacy,pharmacy,,,,,,,,,,,,,yes,,,,,,,,,,,,,60129000,1,2018-06-24 20:03:40+00:00,Matija88,"Гимназия, Pjaca od Brašna, Tabačina, Špiljari, Kotor, Opština Kotor, 85330, Crna Gora / Црна Гора"
18.7712478919785,42.4257932848052,5715999066,pharmacy,pharmacy,Benu,,,,,,,Mo-Su 08:00-22:00,,,,,yes,,,,,,,,,,,85330.0,Kotor,125488238,2,2022-08-28 17:38:10+00:00,Tr4sK,"Benu, Pjaca od mlijeka, Tabačina, Špiljari, Kotor, Opština Kotor, 85330, Crna Gora / Црна Гора"
19.2229143720152,42.4260855617689,5778031963,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,60965739,1,2018-07-23 01:00:27+00:00,Mario Tošić,"Pošta CG, Dušana Duće Mugoše, Donja Gorica, Podgorica, Glavni grad Podgorica, 81111, Crna Gora / Црна Гора"
19.2228339895638,42.4261566403078,5778032067,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,60965739,1,2018-07-23 01:00:28+00:00,Mario Tošić,"Pošta CG, Dušana Duće Mugoše, Donja Gorica, Podgorica, Glavni grad Podgorica, 81111, Crna Gora / Црна Гора"
18.7651661506738,42.4361564184319,5804726454,pharmacy,,"Apoteka ""Dobrota""",,,,,,,,,,,,,,,,,,,,,,,,,61306902,1,2018-08-02 18:20:46+00:00,rominf,"Apoteka ""Dobrota"", Put I Bokeljske Brigade, Plagente, Dobrota, Opština Kotor, 85330, Crna Gora / Црна Гора"
19.8311853972797,42.56385387509,5884006586,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,62299968,1,2018-09-05 06:27:30+00:00,calli3756,"Dom zdravlja, Čaršijska, Gusinje, Opština Gusinje, 84326, Crna Gora / Црна Гора"
18.9506273254142,42.7771905775765,5887341786,pharmacy,pharmacy,Remedia,,,,,,,Mo-Fr 07:30-21:00,,,,,yes,,,,,,,,,12,Nikole Tesle,81400.0,Nikšić,62336889,1,2018-09-06 09:40:12+00:00,Cesha,"Remedia, 12, Nikole Tesle, Nikšić, Opština Nikšić, 81400, Crna Gora / Црна Гора"
